"username","description","verified"
"CarmenDeniseUK","Hope💕. SaxPlayer🎷❣️#CaneAlumni 
SpEd teacher31yrs.
Mom to Meena, Jake, furgrl-Xena👩‍👧‍👦🐕💕.
LoveChrisKing💑.
she/her #Vote🌊🏳️‍⚧️🇺🇸🇺🇦🏳️‍🌈💙 #SayGay",FALSE
"Barbara79167636","Health, Humanitarian, Nonprofits, Nursing Science. Union. Happily married mother of 2 wonderful children and 3 beautiful grandchildren.",FALSE
"abm21916","",FALSE
"themightier1","the pen is mightier than the sword",FALSE
"patr_rt","Retweets do not equal endorsements.",FALSE
"TheRealRobLaw","Banned for telling Russia to leave Youtube. Seriously. That is how fucking stupid the people at Twitter are.",FALSE
"LABengalLover","love football...and my family of course!    
 ;  )",FALSE
"PassarelliAllan","Married 44yrs.Grandfather. Old , still work🤔 #TrumpRussia #98% Stronger Together! #VoteBlue2024 We are the human race! #No Lists - No Porn-bad speller.",FALSE
"Lynda4710","Mom of 2, Nana of 5. Just smile 😊",FALSE
"HayThatsMyBike","#BLM, Conservative WingNuts and Wackadoos not indulged. Views are my own and 80+ million others #dumptrump #NotoriousRBG #StandWithUkraine #IStandWithBiden",FALSE
"MERLIN56053779","Impeach TRUMP. Loyal resistance, citizen of the world, animal rescuer, environmentalist, favorite song. Imagine by John Lennon     passion. Rescue all animals",FALSE
"BionicMeatloaf","Democratic Socialist and dinosaur autist. I retweet lot of political stuff and unrelated memes",FALSE
"Rob_balboa","You have 2 choices,  do something with your life or make excuses to justify your BS. live and let live. Censorship is for the emotionally soft",FALSE
"adoptapet_77","#SWU UT(BA)UTA(MA) Lit teacher, Political mod, #AnimalActivist #feminist cancer survivor,Chess Coach Married:don’t DM #FBR #BLM #AdoptDontShop",FALSE
"CColdheartedb","Let kids be kids! 💙 IDEMOOO!!!",FALSE
"iamrmac","Wife/DogMom. Engineer/Attorney & DEI Leader! @UVA and @Rutgers alum. #HBAP Ambassador. Love all things sports and politics. All views are my own.",FALSE
"MTaylor_tweets","I help speakers & coaches prepare for their toughest presentations, and earn more 💵

Fmr Senior Mentor & Coach w/ @TonyRobbins 

Here to make friends

DMs open",FALSE
"jennadona","I love college football and everything about West Virginia! Proud mom of two beautiful kids, blessed. #WVU",FALSE
"teamobama4life","Democrat, Democrat and Democrat again, Simply put, I am  a Democrat. O BTW- I am a Democrat",FALSE
"9carol3","Vote Blue Always 💜🖖💚💙💛
Respect & Love for animals  

https://t.co/NFsiNo2PLC   @carolcg93",FALSE
"rangerwyld","President, Director, Playwright - my views are my own.",FALSE
"kendramcdon1","Patient Advocate, Resistant, Persistent Fighter for Human and Animal Rights, Feminist #WomensRights #Equality #LGBTQ #BLM #Resist #HealthCare #ScienceIsReal",FALSE
"jcmarbury","Retired Realtor, General Contractor #FBR",FALSE
"Malapaduci","maintaining spirit through giving back; ##DoWhatYouCanWhileYouCan  #everamazed Do more than you think you can! #KindnessRules no DMs please",FALSE
"joesgarage101","#resist #voteblue vaccinated & boosted",FALSE
"Peachie100","Love Candy Crush Saga. Fan of MAFS, B&B, Y&R. Tax Professional. ReTweets are just that. Democratically BLUE. Love Warm Hugs! Highly Blessed by God's Grace.",FALSE
"dsharden","she/her Beach & Dog Lover, Chef, Zander’s mom Always Zen. #dtwd #Electmorepeopleofcolor #Electmorewomen """"as innocent as a person can be.""""",FALSE
"MsMariaT","Just a mom who is concerned for our great country. Won’t be satisfied until tfg is in chains. #PutinIsAWarCriminal #SlavaUkraini 🇺🇦 #VoteBlue 🌊",FALSE
"Rccard1999","Determination & Opportunity are the keys to the American Dream! #bayareanative #TheResistance #Joe2020",FALSE
"MRios5","",FALSE
"LovemySancho","love, peace, familia, proud Latina, loyal, faith, Christian, open minded, rebel. ♡prochoiceChristian ♡WomensRights ♡Justice4POC ♡Reform3Strikes 🚫 no DMs",FALSE
"Angelac1993","Biden/Harris 2020 #resist #BlueWave",FALSE
"frank754","Orig NJ  #BlueCrew #Union #UniteBlue #zen  #ActOnClimate  #getmoneyout  #progressive #infrastructure  #ShutdownTheGOP #OFA  #FBR - Widower age 68",FALSE
"TbBrame","Planty Person. Recovering Redneck. Anti-Chekist. Know that I know nothing. Sifting the 1s & 0s for bits of wisdom to amplify. Country over party. #PlantyStuffs",FALSE
"WFPORG","We are a group of women based in Northern New Jersey, fighting for causes under threat since the November 2016 election.",FALSE
"DeniseWalston","mathematics educator; NCTM Board member (2018-2021); former 1st Vice-President of NCSM (2011-2012); past-president of VCSM; equity and excellence.",FALSE
"DAN_GLEASON","Software channel sales professional; former school committee; husband; Dad; sports and music fan; Curry (BA) and Babson (MBA) grad",FALSE
"LongfellowJean","Silence​ implies consent. Truth is the opposition party. Science, not silence.🇺🇸🇺🇸#PostcardsToVoters",FALSE
"Dandyblossom","Family, tennis, art, reading, Following Andy Murray",FALSE
"MsGResists","🌛🌕🌜🎨 Military wife @goochman1969* #VetsResistSquadron #BLM 🖤 FIERCE🏳️‍🌈DEFENDER 🚫NO DMs!!🚫",FALSE
"rdone","A member of the legal profession, but not a lawyer in the pejorative sense. Historian manqué, WWII and Cold War. Red Sox fan. Gator fan. Practicing Utilitarian.",FALSE
"ToniPhilips","Woman, actor, wife, Star Trek, Doctor Who fan, Analog, dancer wanna be, Jaguars fan, volunteer, friend, not as young as I used to be, but still very curious...",FALSE
"auntoona","Survivor Amazon crone. USN veteran. Liberal. 
No DM",FALSE
"BarbaraGallien6","Small Business Owner
Married 15yrs, Mother of 2  angels
Proud American Non-Republican Conservative",FALSE
"jacky68022167","",FALSE
"TerrieC12","Mom. Retired RN. Feminist. World watcher. Politics Junkie. Dog lover. Earth Lover. #Resist #Gunsense #DACA #ACA LGBTQ Rights. #BlackLivesMatter  NO DMs pls",FALSE
"cranberrypom","Get busy living or get busy dying. Live. Laugh. Love...Hard",FALSE
"AnnaSmallBooks","I am a historical and contemporary romance author. I love dukes, earls, vikings, and cowboys - and not necessarily in that order!",FALSE
"lauren88","",FALSE
"kap1119","#resist #BlueWave #BidenHarris2020",FALSE
"tehmomness","she/her, retired lpn, autoimmune disaster, army widow, mom of nonbinary child, ally,progressive, don't have time/energy for hate. love, light, blessings to all.",FALSE
"LahomaNachtrab","500 hr Certified Yoga Instructor, Independent CRNA",FALSE
"GildaRose77","I'm a American of Scottish,Irish & German descent. Proud descendent of Traitors to the British Crown.
#EndTheNRANOW! and save the lives of our children.",FALSE
"BinkDolittle","Inter-dimensional traveler, hacking his life away.",FALSE
"Willbys","WE HAVE ARRIVED!  SUCCESS! GOD BLESS AMERICA AND GOD BLESS THE BIDEN/HARRIS ADMINISTRATION!",FALSE
"putmygamefaceon","Hate Trump & the GOP; Truth matters; End Citizens United, love dogs; sarcastic, attorney, Ph.D. microbiology",FALSE
"Tris_Kos","Eco evo, bioinformatics, remote sensing, cloud computing, fishing, fishkeeping, and quadball 🏞️ (he) @Triskz@infosec.exchange

https://t.co/55Wp4AnnIK",FALSE
"jplau1","#ExpelMitch #TrumpIsTraitor #IndictTrumpNow #RepealCitizensUnited #GOPTaxScam #GOPTraitors #PaperBallots #NoVotingMachines #NoGerrymandering #NoVoterSuppression",FALSE
"LovetheTitans","Born in Cali..From Minnesota..Live in Nashville..I love God..My family..the Titans, Bucs, Gators, Gophers, Twins and TB12",FALSE
"DarlasDating","",FALSE
"kemling_becky","🇺🇸 ✌ Standing halfway between justice and fascism is complicity.     
    NMFTG",FALSE
"lgartner3","#BeTheChange #wife#mother #gramma; #spay & save the abandoned kitties #Washington # Go Virginia Tech #UCF #Terps #BudFoster, Tampa Bay Bucs & Bolts",FALSE
"bbwivydavenport","Glamorizing Obesity on the Internet Since '04 💖 HFGMULTIMEDIA@GMAIL.COM for customs 💖 HotFattyGirl@gmail.com for everything else",FALSE
"Smilebabes17","Passionate woman ❤️ enthusiastic traveler ✈️ Super spoiled brat and I love a good selfie lol 🤦🏻‍♀️ 🤷🏻‍♀️😉✌🏼 If you can't be kind, be quiet!",FALSE
"tr_williams","Design, photography. Animal lover. Proud liberal. Atheist. Big fan of science. Very curious. ACLU member. Vegetarian. Equality for all.",FALSE
"marooncar","intelligence matters, as does kindness and compassion. November 3, 2020, operation bone spurs, bunker boy vote like your life depends on it",FALSE
"dianebuzz","Vote BLUE! NCIDQ Interior Designer, pro-choice, dog mom, reader, thinker, music lover! #TheResistance #ImStillWithHer #NeverTrump #PostcardsToVoters",FALSE
"MerrickMoses","Winter always turns to Spring -Nichiren Daishonin

#BuddhaDharmaSangha
#NMRK
#HumanRevolution",FALSE
"mel1213_","Mom of 3. Married to my soulmate. Fluent in sarcasm. Proud Liberal. Respiratory Therapist.
#NeverMyPresident
#Resistance
#VoteBlueNoMatterWho",FALSE
"boopsahoy","Loves fishing gambling, my dog and hubby. #BidenHarris
#GetVaccinated.  #BeAPatriotGetTheShot #trumpForPrison",FALSE
"Americanforsure","someone got rid of my Twitter page, so #IAmResistance and I will continue.",FALSE
"Animals_Society","Official Twitter page of the American Sociological Association's Section on Animals and Society.",FALSE
"jetmech421","USAF Veteran, Fly-Fight-Win!  GOP traitors are destroying our nation.
Eagles - Phillies - Sixers - Flyers. 
Transplanted Philly boy
PA-01 Dem 4 life",FALSE
"GypsyDaughter3","🌻Wear a mask in public or f@&k off.
 
Beg for followers= block. 
Whine no one pays attention to you=block
Annoying = block
Rude=block 
Hate cats, et al = block",FALSE
"leftnotright","Progressive/Democrat We need to work harder than ever to take State Houses and keep Congress.  #TheResistance",FALSE
"l_menz","wife, mom, photographer, runner, baker, over-thinker. #AWFDY and what is goalie interference?",FALSE
"JohnApp63499667","I used to be prescott56. But, my account was hacked. I cannot access my old account. I set up a new one. Hawkwind, Frank Zappa and The Residents. Usual stuff.",FALSE
"odouglasj","Gʀᴀᴘʜɪᴄ Aʀᴛɪsᴛ & Aʀᴛ ᴛᴇᴀᴄʜᴇʀ. ⵊʟʟᴜsᴛʀᴀᴛᴏʀ ᴏꜰ @dragoncampbook, Cʀᴇᴀᴛᴏʀ https://t.co/nvVFjQW0Qi , Cᴏ-ᴄʀᴇᴀᴛᴏʀ @stackycomic. https://t.co/ep5C9g7AVU…",FALSE
"PadmeAmidala217","Smart-ass Liberal, Mom, Retired Nurse, Cat Lady, Atheist, and Warrior. Social Justice. I Do Not Suffer Fools Gladly",FALSE
"DaleKanzler","Raconteur

The universe is comprised of: Protons, Neutrons, Electrons, and morons...
#Resister Covid long-hauler

Nudge me, if I didn't follow back. No DMs...",FALSE
"reality1007","Take back our country from the orange dumbass. Vote blue!!!",FALSE
"ClimateThoughts","If it harms none, do as you will. Respect the Earth, it's the only one we have. 🌎🌱",FALSE
"weenie1952","",FALSE
"MikeFreethinker","🏳️‍🌈🇺🇦🧩#Autistic #Science ANTI-FAscist. PRO-equality/equity. Lib'ral Democrat. Atheist. GOP: Truth will be your undoing. #TheResistance #BLM 🚫LISTS",FALSE
"CosentinoT","🇨🇦🇮🇹🇩🇴        #HTTR",FALSE
"Kathlee55526488","BIDEN/HARRIS WON 🤩
LOVE VETS!!❤
HATE RACISTS, Bigots, Anti-Semitics,
Homophobes,etc. BLACKLIVESMATTER!!",FALSE
"Outlaws52","Abandon Hope All Ye Who Enter Here - Dante",FALSE
"kappiblu","I’m Blü 💙in Alabama. Mom to Kappi-Blü👧🏻. I still believe we’re Better Together. Secretary Clinton told us so.❤️",FALSE
"ChrissyMI","Midwesterner w/Irish roots. Love reading, coffee, college football and hard rock. 🆎🎸Alter Bridge, Tremonti & SMKC fanatic. 🤘🏻",FALSE
"Mbug1216","Mom, student and breast cancer survivor. Dog and cat lover. #TheResistance #voteblue",FALSE
"BillPackMagic","More than Magic - Creator of Exceptions to Reality. shill for Big Truth",FALSE
"AdamJayEmrich","A realist not deluded by propaganda.",FALSE
"Utopiayes","Free Thinking...Avid Reading...Mad Agape Loving...Spiritual-Universal Being. Designer; Children's Book Author.",FALSE
"larenard","Entrepreneur. Owner of K &K Cleaning Co.",FALSE
"bratst","",FALSE
"emeyers1","🇺🇦Establishing Data Flow Accuracy; ECommerce connections; Protect our precious 🌎, Her Resources & Every Inhabitant; Justice for all Overdue!",FALSE
"ClassicMP","Winter must come before the Spring and all its newness 🌬💤🛌🌙",FALSE
"notz_angela","",FALSE
"barryspoints","Be the best version of you and follow your dreams. NO LISTS!! Will Block!! #ClimateCrisis #GunReform #VotingRights #BLM #PaperBallots #VoteBlue #FBR",FALSE
"krobeen","likes arts/crafts, Political junky. Netherland dwarf rabbit,   Environmentalist. vegetarian.",FALSE
"klwilder3","",FALSE
"ChrisRiger","The authority of compassion has our back",FALSE
"biffyb","He/Him “Why did Jesus go ‘round wif all dem reindeers?” ~ Ali G",FALSE
"Ky_Comrade","Single Dad...Tech Geek...Gamer....Music Buff...Japanese Music Lover... #AddisonsDiseaseWarrior..Hard Left Atheist #antiracist #antifascist",FALSE
"tamjackson22_e","Christian - Mom - Wife - Gator fan for Life!
Proud Democrat & Patriot! God Bless the USA! Resist!",FALSE
"PearlNitche","Realtor at the beautiful Jersey Shore. Let's find your dream home together. My passion is writing crime novels & travel.",FALSE
"BarbRyan_MH","",FALSE
"FunnygirlLee","#HandMarkedPaperBallots ✍️",FALSE
"jtr505","biological anthropologist, mom of 3 wonders",FALSE
"ENIGMA_X59","*COUNTRY BEFORE PARTY*
Democrat.  No lists.",FALSE
"IamBrendaTowns","I am an Unapologetic Liberal and yes I am Christian! I'm proud to spell my name LIBERAL!",FALSE
"twinklebug70","",FALSE
"hapa_guchi","",FALSE
"tessthefirst","#ChampaBay Proud Mom of #classof2020 grad, now @Eckerd #classof2024, Golden Retriever Bailey 🐾 Run🏃‍♀️Yogi🧘‍♀️Law ⚖️ Sourcing Contracts @Amgen Rays⚾️",FALSE
"robininrichmond","Welcome to Planet Earth.

Please return your trays and seatbacks to their upright and locked positions. We hope you enjoy your stay.",FALSE
"nicolepw","Since March 13, 2020, ZERO arrests have been made for #JusticeforBreonnaTaylor

University of Georgia Alumna - Technology, Healthcare & Life Sciences Consultant",FALSE
"JessicaBarronTV","KRQE MMJ 🎤🎥 Proud 1st Generation Latina 🇲🇽 Self-proclaimed Foodie 😋",FALSE
"jenniferstull","https://t.co/tdtWA4rUQg Creator and  Publisher of Journals, Gratitude, Blank, Recovery and Custom. Happiness Is An Inside Job",FALSE
"FeedMeHoney","Also, FeedMeHoney@mstdn.social. Democracy, science, New York City. I will never ever buy a $TSLA or crypto. Ready to vote blue in 2024!",FALSE
"FreeBra1n","🦈 Objective specimen, Science dude 46XY. Opinionated! Ready to DEBATE, when it matters. Anti-injustice. FAV own tweets📦|Equal Rights 🇵🇷PR🌊 ETH $SHIBArmy",FALSE
"EthanLazuk","SEO @Designzillas | The Wire aficionado | Vegan | he/him/his",FALSE
"Arriadna","Dem💙🇺🇸, human rights, civil rights, a clean ☮️ 🌎✨ #LibertyTree🌳 ✨7of9🖖(fan)✨Resistance✨#BidenHarris2024 -🚫Maga @Arriadna@mastodon.social.com",FALSE
"needlenymph","Award winning Cdn fibre artist & designer.


Defender of social justice.


Lover of arts, music, the ocean & the mystic.


Now drop the friggin' puck!",FALSE
"IndivisibleVV","We are at war for the soul of America!
#JeSuisUkraine #JeSuisKyiv
#ClimateChange
#Medicare4All
#LaborStrong
#BlackLivesMatter
#VotingRights
#LiberalDemocracy",FALSE
"ngaines13","civil servant who believes in democracy & equal rights. no bigotry here! proud to be from Lexington, Massachusetts - the Birthplace of American Liberty.",FALSE
"davidbolqvadze","",FALSE
"SchoolSleeping","Sleeping is my drug, my bed is my dealer and my alarm clock is the police.",FALSE
"mshemispheres","Learning to fly....tweet, tweet.
Liberal, American citizen🇺🇸, 🇨🇦Canadian made, Valley girl...
Purple monkey dishwasher...",FALSE
"iHarry","Racism is abhorrent behavior caused by mental defect. Former lifelong Republican. #Resist #BlueWave #NeverTrump #TrumpResign",FALSE
"HrhOrchid","✨🔮 †hrêê †hïñg§ ¢åññð† ßê lðñg hïÐÐêñ: †hê §µñ,☀️ †hê mððñ 🌛åñÐ †hê †rµ†h! 🔮✨~ ßµÐÐhå #TheResistance",FALSE
"PandoraSpocks86","Christian, Wife, Mom, Gen-Xer, Empath, Democrat, Resister. #GetVaccinated #WearAMask #BLM #RightMattersHere she/her (I don't respond to unsolicited DMs)",FALSE
"MLRiddell","Middle school English teacher. Wearing jeans is my hostage code. #PublicSchools #MichEd #ELA #TeacherTwitter #TheResistance #MSChat",FALSE
"Gifted_gabby","Retiree, adventurer in training, Paddle Boarder in training, art lover, animal lover, vegan, book obsession #Resist No DMs please",FALSE
"fitnovastella","",FALSE
"StudentsDemand5","Washington State Students Demand Action for Gun Sense in America",FALSE
"imissguinness","Books and music = my drugs, guitars and pedals = mild obsession, The Dead Deads = Queen's of Rock!
I am a big 'ol Geek, and pseudo Cyclops.",FALSE
"CherryWillis13","NOTE: Nothing in these posting is intended as legal advice. No client/attorney relationship is intended or created by these posting.",FALSE
"suescannon","mom, nurse, and social activist",FALSE
"malama00","Nurse who wants healthcare for all, common sense gun laws, attention to the environment, election security, and respect, fairness, and appreciation of diversity",FALSE
"larklittlefoot","I speak in memeish Independent.  No party just country!💯🃏. ⭐️ caregiver 🏳️‍🌈 I am the Shadow ban",FALSE
"LaurieBsequimus","Native Los Angelean now loving life in Sequim. Crossword puzzle maniac interested in geopolitics, social psychology, art and binge watching comedy and drama.",FALSE
"RamonG2050","",FALSE
"ljordanplatt","Teacher, reader, writer. 3 cats. Yinzer. """"Be true, be brave, stand.”--Stephen King.   Profile art by friend Charles Ott.",FALSE
"SharoNastyWoman","Totally #liberal and proud of it. In love with @a_swarty 😊 #TheResistance #FBR 🌻 🇺🇦",FALSE
"TracyandCookie","",FALSE
"butterfly4u4eva","#BlueWave #JMUNation - my mom who battled #HuntingtonsDisease died Dec30-2020 covid #TownCouncilwoman #survivedCovidTwice #vaccinated #BGForever 🦋🌹👍🏼😘💙💜",FALSE
"BlueWaveLady","Fun loving, respectful of others, Patriot. 🇺🇸 Resist, I'm Blue, how about you? 🌊💦",FALSE
"niterydr01","Works nights. Love life!  Love adventures/travel.  Own a rescue, chocolate lab/chessie mix.  Love animals, donate to shelters",FALSE
"TenceWolfe","An OldBroad who still dances like CydCharisse FreedomSummer OberlinCollege UnionSteward JewishNontheist #IDeclareWorldPeace #Choice #FreeSpeech #WokeAndLovingIt",FALSE
"BeelteeBonnie","retired, gardener, one husband, two dogs, living blue in a red state!",FALSE
"DragonStone1963","NAV/CG Vet1982-2013, Defender of our country, the environment and our kids future. #TheResistance #VoteBlue @Dragonstone1963@universeodon.com",FALSE
"tkaz99","Liberal
Atheist
#vaxxed
#environment
#space
#science 
#lgbtq
#StandWithUkraine

~Sentio Ergo Sum~",FALSE
"Kristina_Why","She/Her! Go ahead and get all flustered about my pronouns … show yourself as the delicate snowflake I already know you to be.",FALSE
"MoraaoM","Bibliophile, cynophilist, football fan, MCU junkie, big cat fanatic, lover of life, #BlueCrew & staunch defender of the Oxford Comma! #BLM No DM’s",FALSE
"NinaMonico1","A Dem #Resist #BlueWave2020, #SF Bay Area!, #Viva La Resistencia!”, “Animal Lover”, #ProtectOurEnviornment!, #GunReform,#Dreamer’sRock!",FALSE
"tinar1e","We the people. Look for the beauty. Grateful.",FALSE
"qckwitted1","Your worth is never determined by someone else's value of you...#Vaxxed #Boosted #DeedsNotWords #Resistance #VoteBlue #Veteran",FALSE
"PamelaK65915245","Concerned citizen. Worried about our country. We have to band together to save our democracy.🌊🌊🌊🌊🌊🌊🌊 #VoteBlue2022 #VoteOutAllGOPSeditionMembers",FALSE
"thecoutureman","Creative Professional and High Touch Resource",FALSE
"BaltFang","#BernieSanders #USAEndAIPAC #FOREVERSANDERS. I STAND WITH #PALESTINE  #BDS #BLM
#IsraelisCrimes  #Palestine #NationalProgressiveParty Both Partie's #Failed",FALSE
"RojoRurba002","@DearAuntCrabby @electroboyusa @funder @JonCoopertweets @GlennKirschner2 @Alyssa_Milano @bjwinnerDavis @NancySinatra @PaulaAbdul NO DMS PLS MeidasMighty",FALSE
"ale_haim","Gamer and three time wingman

Slava Ukraina",FALSE
"Dan92443499","Husband, father, grandfather, Nats and ND fan. Criminal defense attorney, Democrat.",FALSE
"PokeK7NG","",FALSE
"klhoughton","",FALSE
"GeraldineBilge","Facts Matter!
Vaccinated
Retweets do not imply endorsement.",FALSE
"SvobodaMarybeth","Registered Nurse, healthcare for all, resist",FALSE
"AdmiralFoxxway","Starship Admiral (it's my happy place), product tester, 💖☕,humor,tech, music & language. #Resist (ance is NOT futile!) 🖖 #IMFTA🚔 #TrekYerself 🖖🏽💯 #FBR🎉",FALSE
"LaurelSoden1","",FALSE
"sara_arub","At 20 y/o, I graduated @VCU. Currently doing ad ops @RTI_Digital. Alum: @orgcorps2020 @Need2Impeach @ForOurFutureVA @NewVAMajority @EnvironmentVA",FALSE
"DanSanderson10","We are spiritual beings having a human experience. Learn as much as you can; lived experiences are all any of us get to take to the next life.",FALSE
"observer232","When I leave, I want what I’ve left to be better than when I arrived. Father, Teacher, #resist #HannahArendt 🌊",FALSE
"NotnoworlaterSD","Just a mother of 2, doing her best to right the world, before it all goes up in flames. btw.. the game I play is my little escape, don't judge.  she/her(s)",FALSE
"DawnAbene","I am a licensed massage therapist. I currently live in Surprise AZ. I have interests in the arts , and horse back riding. I hope to one day own my own ranch",FALSE
"tweeterberry1","5X C-19 vaxxed, but #WearAMask I block MAGAts! No DMs! #VoteBlueToSaveDemocracy #Resist Dem for all my voting life! #Trump4Prison",FALSE
"Gardenthymeherb","Herbalist, solar, star, earth, water, plant & cannabis lover,  resister, survivor. @gardenthymeherbs coso",FALSE
"gwencannon","Entrepreneur, Retired IT Manager",FALSE
"KarheemH","#FBR #EndTheFilibuster #BidenHarris #LockHimUp! Our daughter, Faith-Symphony 💗 WILL live in a world free of trumpism. Do not grow weary in well doing!",FALSE
"Amaliada","I am a lifetime Democrat and informed voter dedicated to educating others why they need to vote #Democrat. All relationships are political, all tweets are mine",FALSE
"goldngater","Thankful to live in a city & state that value diversity and work to achieve equity. #LGBTQ #NOH8 #BlackLivesMatter #Antiracism is a verb. 🌉🏳‍🌈🇺🇦",FALSE
"rebeccasears","Tai Chi Believer, ME patient, Grateful to Be Alive,Wanna do More, Happy Human, Black Lives Matter.",FALSE
"itsWanda","#realSF #eatyourcolors #SFGiants #DubNation @dimsumeaters It's a goddamn beautiful day. Follow me https://t.co/mD6xuYXrMW @itsWanda on Post itswindy@pacbell.net",FALSE
"Angel0573","",FALSE
"PrightonD","",FALSE
"MaryNesham","Proud grandmother of four grandsons and a granddaughter, bird and nature lover, and aspiring water color artist. Progressive Democrat. she/her #Resist",FALSE
"BeelelTina","Everything and its cosmic creation.",FALSE
"Adfdwayne","♉️humanity comes first 🎭. .can't take it with you. live-free or die.",FALSE
"28Haitiankids","Working for a more perfect union. ⚽🏀🎣
Men, lakay se lakay!",FALSE
"SesshaBatto","Sword wielding Buddhist writer of transgressive homoerotic fiction SesshaBatto@mastodon.social he/she/they",FALSE
"Heimdall2017","Husband, father, feminist, European, atheist, Ceterum censeo Nazis esse delendam, vaccinated!",FALSE
"7777Justice","More than anything, it's the hypocrisy of the other side which keeps me in the Democratic party. 
DMs open.",FALSE
"KelliSmith15","Snazzy lover of all things baby! Married, 2 Sons! #ObamaIsGOAT #TeamObama #POTUS44 #BujuBanton",FALSE
"DeborahPuglies3","Retired Baker, homesteader, animal lover,",FALSE
"Katalyst4change","Tech Addiction Specialist, Author, Speaker,Former Sexual Abuse Investigator and Leadership Consultant",FALSE
"AdvocateClimate","Let’s start a conversation about what each of us can do to stop plastic pollution and live more sustainably",FALSE
"Ally_Katz","Here to learn what the heck is going on.
 
 *Recycle* Protect Earth* 
*🐱🐈🐱🐈🐶*
 
 NO lists!",FALSE
"amandamkell","Use more commas. Be quarterback friendly. """"You will be reducing the liquid while creating complex flavors."""" Enterprise & investigations @BaltimoreSun",TRUE
"PissAaron6557","I don't want to look pretty. I want to look otherworldly and vaguely threatening.",FALSE
"NoClearRecords","st pete floriduh; https://t.co/Ds2AasHLSE, https://t.co/tOJ1CFNm5G, FOT, hoops, he/him",FALSE
"MaggieB13877981","Just a regular person who cares about the world!",FALSE
"ayyospectra","spread love. vocalist. marvel. beyonce. muse. ofmd. niners. she/her BLM ✊🏾",FALSE
"LLStarlight","Observe without judgment and choose with discretion - no one is inventing the wheel - we modify it and we talk about in different ways",FALSE
"timdewell20","Gay-Married-into Politics and our future. Hoping all wake up to our humanity. #BLM #Biden_Harris 🌊USA I’m not a bot!",FALSE
"genghisgalahad2","Pro #NRDC #BernieBlue #SierraClub #DnD #NoDAPL #JusticeforJamal #ProsecutePruitt #ImpeachKavanaugh #trumpknew #trumpknewanddidnothing #deletefacebook",FALSE
"mdumbrell","",FALSE
"SaltySoulFL","Salty Soul - Cleaning one beach at a time to protect the locals by removing trash before it harms the ocean’s marine #Beach #SaltySoul #LoveFL #ProtectTheLocals",FALSE
"IloveFlorida001","Democrat. Aviator, Climate change is real. I block MAGAs, bigots, whiners, and idiots. Pro union. Defender of reproductive rights. #BlueCrew",FALSE
"ArmyofWomack","I MIGHT know what I'm talking about... but probably not.",FALSE
"johnintampa","cloud convert looking towards the Datacenter-less future. Dad, husband and all around fun guy - loves to try new things. all opinions are my own!",FALSE
"mary_mbmbmooney","SPS’80, Bayvette’84,Gibbs Girl ‘87-Protocol Asst’00-‘02,Army Proud‘87-ON; LIB/SMW (USA) since ‘07 Glad Mom to TP&KE, Lovely Spouses, T&C❣️GranMama to Mia🐾💞",FALSE
"Susan65154326","",FALSE
"eminon115","#Democrat #ResisterForever 🌊 ✴Born 7/18✴ City of NY🗽 (now in CNY) 🙌 Fav author 📖 James Baldwin *No Lists & No DMs I won't read them Thx*",FALSE
"pergolaman","If it ain't politics, it ain't important.. 😂😂 I can be off the wall. #420, #LGBTQ,#BLM,#UKRAINE. SUPPORT A WOMAN'S RIGHT TO HER BODY.",FALSE
"sholden5","I'm just an old gal who pays attention. Retired English teacher and author of Sparky the Beagle books",FALSE
"DaSilvaComic","Presidential Hopeful, Comedian  Album: Adorably Offensive on iTunes / Amazon/ Spotify  https://t.co/D4sjMAsn0k   https://t.co/RZJf5HiAND",FALSE
"LPMCalamar","",FALSE
"Skinnyg3307","hi Folks I’m an Independent Voter. Very unhappy with Washington and the way things are going.",FALSE
"scullyresists","New England. TFG has always been a criminal. #Resistance #GeeksResist #TheResistance #Followbackresistance #EpluribusUnum #FBR🇺🇲",FALSE
"Philos_Sofia","Born in Jackson MS • Blazing Dekalb Co GA Democrat • LGBTQIA • mostly here to RT/amplify • will block both ends of the horseshoe • 💛• she/her/they",FALSE
"thelutherlee","Leadership is a choice, not a position",FALSE
"nickipediaWFTS","Public Relations Manager for @BorgataAC",FALSE
"cmcc1975","Positive loving human loving positive loving humans!",FALSE
"sbarker48","",FALSE
"Louise_Bellwood","Anti-Trump and Anti-Trumpism   I Stand with Ukraine!",FALSE
"Cbukowski69","Food is just feces waiting to happen.",FALSE
"Grumpy_Gail","I'm a NASTY old woman. Recently retired, my conservative son told me, find something you are interested in and get active, So I did, I joined the resistance!",FALSE
"Badgersbane","Beer aficionado, politics, atheism, evolution: Englishman living in the US.",FALSE
"NanaTamara21","I am a 64 year old, wife, mom, and Nana of 24 and #GiGi of 3 #VERYMARRIED #CorgiLover🐾 #FREEREALITYWINNER 💜#AllBlueInWyoming💙#AdvocatingWyoNana NO DMs🚫🌈",FALSE
"kevin_cracknell","Father, Husband, I.C.U. Nurse. Northerner. Movement is life. Spiral out. #BillsMafia 🇺🇸 🏴󠁧󠁢󠁳󠁣󠁴󠁿",FALSE
