"username","description","hand.label_simplified"
"Bryn32050638","just me I walk the Middle Path. 
My people have been upon this land forever!!!
 Generations and generations forever.

NO LISTS Please. 
NO DM's. 
I AM .","other"
"smehro","Author; entrepreneur; CEO; 
https://t.co/duHHL5AaD2
https://t.co/n3yeHMrbbT","other"
"spturgon","AV's fave (& only) Tia 😉 Humor helps everything. 

Ghostwriter Global writes better books for a better world. 
Get that book out of your head & onto paper!","other"
"wcli1108","I, Robot!  #Forwardist
#Tesla, #Bitcoin, #Ethereum (#shibainu seems more useful than #Doge-10/04/2021) HODLER!
Just another """"Muskrat""""","other"
"The_Jo_Knows","#DigitalMarketing Connoisseur, 🐶 fanatic, and 🔥 artist. 6 yrs EXP All tweets = my own. RTs =/= endorsement. #marketing #branding #contentmarketing","other"
"diannemando","Pro-human rights. Curious. Greed is the worst. NO LISTS, NO DMs.","other"
"Hope__Morgan","South Florida Native (3rd Generation)
🌳Growing food among native plants 
💧 Clean Water & Air/EVs/Clean Energy ☀️","other"
"BenVorwerckCVG","Born in Dayton, OH. Family in the US Military. Grew up in Atlanta, GA. Now live in Cincinnati, OH. RTs aren't endorsements.","other"
"Arthur59611540","Consulting (environment, entomology) B.S. Biology M.S. Aquatic biology - Ret. Ohio EPA, Jazz, comedy, no businesses, No Repug. Must show bio!","other"
"j3zcm0","#Resistance   vote blue in 22
get vacinated. fuck trump. fuck scotus, women's right to choose","other"
"kpjpsp","🇺🇦🌻I’m fighting for democracy -exposing corruption & lies -appreciate all cultures & religions & believe education, human rights & travel improve the world🌊","other"
"mihaelajipa6","what's fashionable right now? 
Join The Cause SAVE TERRA! 🌱🌎 
CLIMATE CHANGE URGENT!! 🔄♻️","other"
"Toast2Karin","Purveyor of shenanigans, foodie, liberal, and all things Iowa Hawkeyes.  On Post, same as above.","other"
"cyurek","Virginia Voter, Gymnastics Coach, and Geography Buff. Politics is a bad habit.
#EndGerrymandering","other"
"Cheryl_Kneisley","Underwater Images by Cheryl and Doug Kneisley  Fine Art Prints and Gifts of our photographs taken while scuba diving.","other"
"debbieACSW","Mental Health Prof.💙💙💙 Share truth and Kindness 🌊 🇺🇸🇺🇦 Keep up the fight! LC2020  @debbieacsw on other sites","other"
"branders44061","Charlotte NC area resident - retired. Liberal Christian, advocate for social justice who values worth of all. No DM's #IStandWithUkraine 🇺🇸 🌊","other"
"HazardMaterials","Nah","other"
"Tamera_Tams","♡LIFE is too short, so KISS slowly, LAUGH insanely, LOVE truly, and FORGIVE quickly♡ ~Artist~My Words are copyrighted ~ Pleeaase NO DM's 🌸🌿 Country Over Party","other"
"KayOrnella1","💙💙🇺🇲 🇺🇦 🌻💙💙","other"
"AntiBSAdvocate","Second gen. U.S. citizen, mostly blue, taxpayer. Love my country! Stand w/ the Capitol Police re: #January6th!  My opinions are my own, just sayin'!","other"
"Count_of_Zed","I Love God, my wife, lOvly daughter| Reformed Baptist | Calvinist & Not New Calvinist #TULIP #5SOLA's #1689BCF | Secret Blogger | 🇿🇲","other"
"rescuebasset","retired nurse, animal lover with basset hound rescue, baby boomer activist, Blue 🌊 Wave Supporter, member of Move-On etc., proud Democrat from S. C.","other"
"DLOWIWX","#nerds #weather #nature #stormspotting #wiwx also sometimes #memes","media"
"cspanSnark","""""Your the reason this country is going to a Socialistic nation""""—Some dumb right-winger","other"
"GregLitzo","Retired law enforcement","other"
"Camelotchild1","Channeling my inner Towanda. Lover of wide open spaces & quiet places. Animal rescue at Mountain Tails. My dogs & I sleeping better with the Fat Cheeto gone!","other"
"dragontailscomp","Ok if you don't follow me. Pls help Vets, Animals, Homeless & Migrants.  99% of what I retweet is w/o comment to remind me of what is going on.  Be kind.","other"
"debbierjoyce","I love reading,gardening,and arts and crafts. Hot tea and coffee are a must.After trump et al,I want a better America. No DM’s please. No lists please=quality.","other"
"ThiefNtheKnight","...Free is the mind of one who finds God working inside Paul (Daniel) Zink","other"
"TheKoolcat01","New season, new opportunities to finally do the right thing in this country. Your vote truly does count.  Hold each of those TRAITORS ACCOUNTABLE!","other"
"HopesWayPtbo","“Whoso stoppeth his ears at the cry of the poor, he also shall cry himself, but shall not be heard.” Proverbs 21:13 KJV","other"
"andreacotes1","Biologist 💚 Parasitologist 🦟 PhD Student Ticks and tick-borne pathogens ecology","other"
"QueenbeeAxs","liberal, 🆘, feminist, Democrat, Mom to 3 plus 2 dogs, Ravens and Oriole's fan, US Soccer fan. bluewave","other"
"DawgoMIsouth","A former Southern alloy short haul / steel warehouseman + petroleum mechanic for Southeast Oil. A former #BAYSO goalie to #McPeak Bombers.⚽.","other"
"Bish_Resists","Snarky, opinionated, meme aficionado. LAUGH. We all need to! 🚫Lists 🚫DMs","other"
"RosaMPalomino","Former Candidate @RunRosy |
Personal & Unfiltered Account | Survivor | Entrepreneur | Educator | #USMCFamily | @DouglasParkMIA Pres. #MakeFloridaGreatAgain","other"
"LeeGo76","Rabid NY Rangers/Yankees/Jets/Boston Celtics fanatic. Displaced New Yorker. Iced Coffee enthusiast!! Science over All Religion.","other"
"oneeightismynam","Support:  https://t.co/GtVYEBP7dw","other"
"USofA_Strong","The illusions of a shining city on a hill and a thousand points of life are gone - all that's left are seeds of hope & hate; which shall we nourish and harvest?","other"
"Linusfan13","Wife/mom. I❤The Peanuts Gang, SPN/TFW2.0, Doctor Who, Captain America, Red Sox, Bolts 🏒, Colts 🏈, Bama 🏈. Documentary, trivia, & true crime junkie.","other"
"gary_gymiebaby","vaper, liberal, democrat, US Navy Vietnam era veteran, sports fan, Michigan State guy. Consumer of edibles. 🇺🇸 amorem non bellum unless I know you don’t DM me","other"
"flcalique","Advocate & Activist #Resistance #FBR
**************Z&H*****************","other"
"angieLovesUSA","Christian Conservative. Pro-Life. Happily Married - NO DATING- No PM/DM. MAGA- Adults Debate- Children Meltdown- I Instablock TDS. Eat more meat, Stay Healthy.","other"
"FloridaSeaGrant","A university-based program that uses #science to help #conserve #coastal resources and enhance economic opportunities for the people of #Florida.","acad"
"RobinLuvsDisney","Skills: I can recite verbatim all words of JFKs Inaugural, Hamilton, & Pixar films...so I have that going 4me, which is nice. Diehard Skins fan, so a masochist","other"
"PersiaAriana","Don’t come for me unless I call for you👊","other"
"CumbieJulie","💙💙Democracy Lover💙💙 Mother, Former educator, 💉Fully VACCINATED🥳, Xennial, Interconnected🌎, Love, kindness, empathy, compassion will WIN!","other"
"Druschmarilia","mother of 3 grandmother of 10","other"
"amp_your_cause","Purveyor of truth, antithesis of the misinformation zeitgeist of our time. #Jan6Insurrection #LockTrumpUp","other"
"sheila_freda","For God so loved the world that He gave His only begotten Son that whosoever believes in Him should not perish but have everlasting life","other"
"jermz05","Korean American. Gen X. Financial Advisor. Tweets (and RTs) are not recommendations.","other"
"AUkeibro","AU-War Eagle, U of K, Democrat, lover of nature and life. We have a responsibility to leave the world a bit of a better place than we found it. #TheResistance","other"
"elpel67","Abstract Artist/Photographer. I’m the GREATEST FRIEND you’ll ever have/know. @amyklobuchar #PlantATree #HB8585 #Parkinsons","other"
"mactavish","Scientific/natural pantheist. Homeschooler. Patriot. Nerd. Rheumatoidy. She/her or they/them. Not one bit pro-fa.","other"
"Natezilla73","Retired Bassist turned local Dj, I'm a C10 owner/enthusiast, Dolphins fan, tattoo collector, future Floridian and I like pie !!!","other"
"Auriandra","“International expert in semantic interoperability” UChicago/MayoClinic. Pro-Democracy Dem. Policy wonk. Link: ⬇️ Trump/Ukraine/Russia Chronicle #NAFO #NewDem","other"
"HernandoCam","https://t.co/qxXaJaAM7D⚓️ https://t.co/eKb7aU9DvR
https://t.co/G3Hl7K3kbC
https://t.co/b5HzP1CbxH","other"
"ReneLouieRa","2021 FINALLY !!!!! ☮️ Biden & Harris all the way. RESIST !!!!🌊🌊🌊🌊🌊🌊💙💙💙💙💙💙💙💙💙💙💙💙. Remember… read the small print. #BLUE CREW.  No DM’S","other"
"dwachfwb","Father, Author, Professional Grim Reaper, I worked with the dead and write about it.#Resist#BLM $dwachfwb 🇺🇲🇦🇷","other"
"BearcatVol","Tennessee Vols & SEC Football since 1991. Post on Tony BASILIO’s 5th Quarter. Contributor for Bearcat Journal ‘cause I love Cincy too. & now the TB Buccaneers!","other"
"jchrisb123","I use Flickr & Twitter to share my photography & life experience. You might also consider me to be a world traveler, snow skier, scuba diver, & a photographer.","other"
"BlueMonkeh","""""Old age and treachery will always beat youth and exuberance.""""","other"
"Joecruzsb","terrible at #ApexLegends, solo #Destiny2 player, Go Bulls #USF, might be a cpa.","other"
"eileenvan55","Liberal AF 🚫Citizens United, I’m Antifa Pro-choice #JusticeMatters Fighting disinformation, #RadicalRacistReich women’s liberties should not be in courts 🚫DMs","other"
"ParisimaTaeb","Running for FL House District 78 (Lee County area): Mother, Physician, Small business owner, Marjory Stoneman Douglas Alumna: https://t.co/yEZ4ru1pP2","other"
"ZanaGee01","I am Zana Gavin| Born in 850| 941 raised me| Business Woman| FAMU Alumna| Lady of TorQue ☠️🎀 #FAMU18 #DHATTWAY","other"
"FLsteveL","Troll killer","other"
"grahzee","6.2 tall, 200lbs,
I don't take socials too seriously....","other"
"javmaher9","#Election2024. Education & healthcare for all. #ClimateEmergency. Sustainability, Equality and Animal Welfare. #FBR No DMs","other"
"grammyjenn6","I maybe broken but I still have strength & beauty","other"
"justinsaarinen","striving for steady state through location intelligence. Father of 2 fourth generation Floridians, ocean minded and progressive. check out a Burchfield painting","other"
"SolomonMaal","RIP Buddy Ro & Calvin —— Gators 🐊","other"
"Mrsbtgabs","Wife, Mother, and Avid Non Baker ✊🏾✊🏾 Sayin it loud","other"
"PatriciaJowers3","Progressive","other"
"riderintherain","Liberal because being left is the right thing to do. Democrat Lifelong resident of Hampton Roads. Retired and lovin’ it!","other"
"trinityfhoney","I love 💕 my 3 grand babies","other"
"SuzanneinLGB","All life is art. I love big dogs. Unite Blue#Rt's are not endorsements#TheResistance#TeamPelosi#ProChoice #NoDm's#IBlockMagnates#BLM#IReadBannedBooks","other"
"ZawishUponAStar","If You're Going To Be A Mess, Be A Hot One. NJ ✈️ PHX","other"
"JustMeZZZ_","If I were to see further than anyone else its because I stand on the shoulders of giants.","other"
"Colchester1891","Quality control.","other"
"RobertSteegLife","Basically Fozzie Bear | Contributor for @StampedeSBN | USF Twitter Herd | #SteegForSurvivor","other"
"AKippieloo","Have the courage of your convictions. Character=the way you behave when no one is looking.  BLM, Dem. NO DMs.","other"
"AmYankees","Don’t blame me I voted for Trump.","other"
"DeWolfe58","Reforming Libertarian","other"
"rightgeorge99","Philosophy starts with Pitchers and Catchers, springs, hopes, eternity, etc. Spinoza said that. I’ll be in your dream if you’ll be in my dream, i said that.","other"
"annakco","Beach, Swim, Resort and Vacation Fashion Boutique🌴Blog on Travel, Fashion, Positive Living. Highly involved in pet rescue and No Kill Shelters. ❤️🐶","other"
"TrishkaPauru","Musician:1/2 of the band TishiPop,Wise Cracker,All around #NastyWoman","other"
"QualityNinja","Vermonter talking software, business , bikes and tactics","other"
"jjoemommaojojo","what ☂️ever","other"
"LawPetersen","Counselor and advocate for community association clients","other"
"LarryToweTV","Special Projects Photographer for WTVT FOX13, tinkerer, gardener, maker of wooden things. WHSV, WVPT, MCT, WHTM. Opinions my own.","media"
"agilexing30","At 73 my expression in social media is of moot value. But clearly, resistance to the Trump presidency is a moral imperative. Tally-Ho CheetoHead! #Twistance","other"
"jcwill56","Musician| Executive Coach| Vocalist| Psychotherapist| Co-founder of Therapy Center Stage| https://t.co/sXpVUvsXku","other"
"MatthewLRose","Fīat jūstitia ruat cælum","other-int"
"CalicoJake1","I specialize in bird law and I am pirate born two hundred years too late. #BlackLivesMatter","other"
"onahunttoday1","adventurist","other"
"Fuglevandhalen","rodbuster, Local 86; dad band: @slow__elk 

drawings and paints; 
buy my prints👇","other"
"NieuwkerkDana","Microbiology, water quality, marine science, toxin-producing algae, #scicomm .                                           she/her","acad"
"StantonWidow151","Mastedon @JStanton@awscommunity.social , what U see is what U get. I want to Spread Humanity. Forever a Warren Democrat She/Her","other"
"CoastieKate1","U. S. Coast Guard Veteran... My Oath has NO expiration date...DAV #VetsResistSquadron #VetsResistSupportSquadron #TheResistance #PRU #CountryOverParty","other"
"WolfeReports","JAX. CAE. BHM. Newswriter. @UofSC alum. @UofAlabama football obsessive. Disheveled and concerned. Est. 1982.","other"
"redshoe9","🛼Gen X roller skating 🎮","other"
"pelfjp","retired. backyard birder #voteblue. part time detectorist. love fishing Lake Erie. married 46 years. no DM’s please. no chat. No Dm’s","other"
"makaveligangsta","Miami Dolphins","other"
"Dmay713","It's not how you start, it's how you finish! I love the life I live, my laughter and my tears I don't know where it's goin' but I like it like it is! PSU '16","other"
"jordan_arick","...Somehow we weathered and witnessed A nation that isn't broken but simply unfinished, There is always light....-Amanda Gorman | He/Him","other"
"Priceeqn","Data mining algorithm developer. Mathematical modeler. #useR #biology #maths #evolution #actuallivingscientist","other"
"Clyde2241","Retired RPh and former 60's protester. #Resist
#StandWithBelarus #LGBTQ #Dems4USA
#DemVoice1 #OneV1 Z22 #FreshResists
""""For the times they are a-changin'""""","other"
"senatorshlikas","It’s time for some new blood & new faces in the U.S. Senate, someone who represents all Americans’ interests. Shlikas will represent YOU. Write-In for Shlikas.","gov"
"TinyTOEPress","🌴 Eco-friendly #Notebooks/#Journals 🌴 #Handmade [no staples] in the USA 🇺🇸✊🏽","other"
"BaffaVbaffa","Just someone wanting a livable planet & justice for all. End corporate personhood #28thAmendment #ClimateAction #ForThePeopleAct #MedicareForAll #SicEm","other"
"AlisonFred1959","Mom, grandma, love to cook, knit and crochet.","other"
"GenWashington64","mom, wife, activist, LCSW, psychotherapist, Democrat, photographer, vegan, #deadhead DemCast Captain, OneV1, wtpBlue #StandWithUkraine LGBTQ+ ally","other"
"srqjoi","NO DMs. 💙🌊🌴🐚🐈‍⬛🐈‍⬛🐕🐕","other"
"JohnSloanSmith","Back home again in Indiana enjoying time with my family","other"
"nuttinbuttgrilz","One Alpha-Aries just N love with ALL women--the salvation of the world...specially when ya'll BANGIN!!!","other"
"AmySeeksTruth","#TeamDemocracy #BLM #StopAAPIhate #NeverAgain✡️ amyseekstruth@mastodon.sdf.org/ and on Post","other"
"BishopScienceFL","Also home to the Planetarium and Parker Manatee Rehabilitation Habitat. From the prehistoric to the present, there's something for everyone! Come find your WOW!","acad"
"NeoDmn","crєator of original, multi-genre 🎶. i bєliєvє in thє ultimatє єquality of all sєntiєnt bєings.🖕 dєcєpticons #blacklivesmatter $MOBILE","other"
"Silvercitysrq","Thoughtful souvenirs -- luxury, high-end purchases! At Silver City Sarasota, we’ll cater to your every need.","other"
"bsds75","When will we all get along? Will it ever be? It's not in the future I see.","other"
"HealthyGulf","Uniting and empowering people for a Healthy Gulf of Mexico","other"
"Kamala4Ohio","Democratic Constituent from Ohio working to one day elect Vice President Kamala Harris President! #ElectBlackWomen #Kamala4Oh #Harris202X","other"
"seterapia","Giovanni Benavides #LMHC. CUNY Brooklyn College alumni, the poor man’s Harvard. No one appreciates free advice.","other"
"IeatMangos","- I steal a candy bar and go to jail. China destroys the world with COVID and nothing happens to em?
- Women, stop it with the butt implants. They look terrible","other"
"jacmeister","Up for Tech and Lifelong Gooner","other"
"StevesGulf","Husband 88 ☼ Father 98 ☼ #Realtor 00 ☼ FSU20 Bio Honors Parent 16 ☼ GW22 Grad School Parent 20 ☼ #GulfHarbors #Florida Resident & Waterfront Specialist 2000 ☼","other"
"ChaosMaster42","Spriter, web comic maker, gamer, and all around artist.","other"
"howland_janecb","“Audacity of Hope” Always. Persist. Care. Vote. 🌊🌝Urban Jungle","other"
"JJFan18","#AlwaysWithHer, #LGM, Resist, Persist, Enlist, Insist, #BLM #NewYorkTough, Cowboys fan,","other"
"gotmtv","Organization dedicated to increasing voter turnout for Mid Term elections. Re-tweets are not necessarily the opinions of our organization","other"
"valorigeorge","The rich always practice class solidarity - we should do the same.
#BLM #BDS #M4A #AbolishICE #IWW

Justice is what love looks like in public. - Cornel West","other"
"PragueloverR","Genealogy / Paleontolgy 
Fuck tRUMP.
LMU Railsplitter '74 
Retired USNPS (CUGA/INDE) & USPS (Plymouth Meeting, PA)
#Resistance. I stand with 🇺🇦.","other"
"aquaculturehub","educate - learn - share - engage","other"
"floridakeysdems","Monroe County Democrats - Florida🌊🌊🌊","other"
"CherryJubilie05","Fed up with watching my country being sold to the highest bidder. #Resist #NeverTrump","other"
"meripierre","Retraité. Bénévole. Lecture. Foot. Hockey. Resto. Une bonne discussion devant une bonne bière.","other-int"
"DruCrawley","#buildings:  #performance, #netzeroenergy, #simulation, #decarbonization, #climatechange, #data, PhD, father of #EnergyPlus, Bentley Systems, views own","other"
"TrueBluPatriot","DemocratsSaveAmerica!
Pro Ukraine Pro Choice NO BERNERS!
Garland critics & magats BLOCKED!!
🚫 DMs‼️
I FOLLOW BACK TRUE RESISTORS!!
INVENIAM VIAM AUT FACIAM!!!","other"
"M_PG20","Liberty over security, Principle over party, Truth over personality..","other"
"janicecoutre","I love flowers, music, Tampa Bay Rays⚾ Buccaneers🏈 NASA 🚀","other"
"RRRiling","Sh✨t show in the WH finally forced me to learn how to use my TW acct   #FBR","other"
"shellshocked103","Proud grandmother, newly awakened to the fragility of our democracy, proud to resist the destruction of our values. Picky about who I follow and who follows me.","other"
"jaffesj","senior with children of four different generations, wives of three","other"
"540856","Not left or right. Independent. It's not who you are underneath, it's what you do that defines you.","other"
"RaiseTheBones","Artist, and liberal AF","other"
"pattysmithsfl","#StillWithHer 🇺🇸 waving Dem
Early American Historian @StanleyCPanther @LindsayBHockey & @JessBlaylock fan @FlaPanthers @Marlins @MiamiDolphins & @Minions fan!","other"
"SophieZnS","Love nature and my friends. Democracy lives, but we can't let our guard down. Support 🇺🇦 You can also find me SophieZnS mstd social and SophieZnS Posted Note","other"
"JoeRuiz1968","Uber driver laided off after 6yrs
school bus driver 14yrs
Fantasy football President Allmadden 32yrs
poker, suportinig daughter with disabilty.","other"
"lizster22","🇺🇸 Black, Japanese TB🐐 4-yr AF Vet, 🌊,🌻🇺🇦","other"
"michega","ex Altavia,
citoyenne du monde,
passionnée de sciences, d'histoire et de voyages","other-int"
"bllyboy60","Recovering Republican, not sitting on the sidelines while Darwin Award Winners spout stupid. I spent my life in service of kids! Oh, and I drive Vets!","other"
"jonrob718","Survived 12 years of catholic hell Atheist -Healthcare is a Right - RESIST #theresistance Vaccinated 3xBoosted 
Putin is a War Criminal / The GOP are Hypocrites","other"
"MissyLoveDown","Studies Poli Sci Journalism @ USF 🐃
I WILL set CNN Str8 1 day!
Looking for 🔥 so please NO LIARS!","other"
"weievil","One of the last sane people left in #Florida #VoteBlue","other"
"Penny_G","#RightMatters ~Fight Intolerance ~ #StandUp4HumanRights,Animal Rights,Peace,Love,Freedom,Equality4ALL ~ #FreeBahrain *Go Away BPOil* #YesWeCan #Resist #ThxObama","other"
"cajunQueeen","Music junkie festaholic  wanna be hippie  living in live music paradise The Big Easy where New Orleans enters your soul~Debauchery Coordinator~ Spiritulized~","other"
"aneffsaneff","Just as I am without one plea. Gratefully born again. Secondary passions are weather, stock/option trading, aviation, astronomy, and sports, including F1.","other"
"eztempo","Love your neighbor. reTweet your friends.   I always Follow back, but only follow real people.","other"
"Haydendempsey","Lobbyist/lawyer; Chair of Florida Law and Public Policy Practice Group @ Greenberg Traurig","other"
"topmom100","VACCINES SAVE LIVES","other"
"kellyjohnsonhas","live to love, love to live_FREEDOM!
#RESIST","other"
"Kelley4AL","I am an American. 🚜 ⛽ 🛶
I have a passion for helping others 
We have one chance in this journey 
Ask yourself everyday 
Is this what GOD would do?","other"
"mohammad5297","#CRO BTC addres bc1q7nwk3xj9hlle9wa4uzvegad68cej3ly9rezdmd #FEG🦍","other"
"Burnest3","It’s BIG!!","other"
"JustMeBTB","Retweeting tweets about one of the most Corrupt “Governors” of Florida. #DitchDeathSantis","other"
"StrongerSaferFL","Nonpartisan coalition focused on increasing Florida's resiliency.","other"
"yegairshed","We are your independent, trusted source of ambient air quality data and information in Alberta’s capital region.","media"
"musicrowmaniac","Resister, Science & Fact Believer, Blue Wave Proponent, Golden Rule Advocate.","other"
"Annie_is_okay","#AdoptDontShop #greenpoint Michigan/NYC/Maine. Birds. Please support the @wildbirdfund. Peds OTR/L","other"
"CitizenBlueJ","“The most important title is not 'president' or 'prime minister'; the most important title is 'citizen.'"""" - Barack Obama #vote #goodtrouble","other"
"bronxfanatic","True Die Hard NY Mets,NY Rangers,NY Knicks,NY Giants,NY Red Bulls,and Barcelona FC!!! Also avid book reader!!!  NO DMs!!!
""""Eliminating excuses""""","other"
"PastorMikeMac","Dad to two awesome girls; Husband to an amazing wife; Pastor of a progressive church; Author; Lover of many things-good beers and wine, books, history & art.","other"
"JariMahawa","NorCal girl👌🏾We Won🎈🎉🎊🎉","other"
"gymismyoffice","Freedom loving conservative Harley riding dad supporting 🐊🐬!","other"
"ILoveMyCamaro","Loves cars, oak trees and traveling. Lobbyist for Physical Therapy as a patient of PT.","other"
"nitemagic12","M.S.E - IT Pro - Athlete - Family and Fun!!!","other"
"jenny_weyler","I’m on Post now, my friends. Bye bye, Fascist Elon Musk","other"
"StefReedBooks","Jesus loves me...and you.","other"
"tg_tillman","#CheckYourEgoAtTheDoor #Resist 🌊🌊🌊FYI: If you tweet any trump positive posts, you’re NOT a resister. Blocked by dean cain❄️No Dating or Inquiring DMs","other"
"ejaltmann","Life comes full circle | Currently @KSTP previously @WFLA @WPTV @KSTP | Amazing wife by my side! | @UWRF alum | Fan @StPaulSaints @GopherHockey #MNsports","media"
"rsnuts","NO 🚫DM’s, NO MONEY CARDS, Video Chats shows who’s real, Engaged-not looking.","other"
"chitownhustler","Skeptic with a flair for the obvious. Incurably curious. Akita rescuer. Tikkun Olam — Repair the World  ✡️ Never Again  @chitownhustler@post.news","other"
"rjnafziger","To create a memorable recipe, it must start with a flavor that's worth remembering! RJN","other"
"Blue_JackSky","No lists or DMs","other"
"FLOversight","Oversight Council of Florida is an independent non-partisan state governmental oversight and accountability organization.","gov"
"JenniferStraay2","Resister❣️ Biden/Harris Wife , Mother, BSN, Still Fighting for OUR Country.! I am Antifa 🇺🇸","other"
"flossthedj","50% fresh, 50% hesh","other"
"bluebird21833","I'm an old retired Democrat. Only vote Democrat, it's the party that cares. I am not on fb or Insta just Twitter. I only have this as an outlet for my opinions.","other"
"MilwSpinny","Steven Spingola is a retired Milwaukee PD homicide lieutenant, author, cold case investigator, & presenter of the Psychology of Homicide (see link).","other"
"susancr94812407","study in Italy in designs","other"
"Andrenoah18","blue.#wave#resistance. The Book of Enoch .","other"
"RileyPBrown","Momma bear","other"
"saraohio44","Liberal, empathetic, and pro-democracy! Anti-MAGA. Vaxxed & boosted x2. No DMs/Lists, auto un-follow if u post pic(s) of 45.","other"
"Wil12th","I have been a Democrat all my life.  I believe in gun control, get rid of all automatic weapons.  #Biden/Harris 2020 #FlushaturdonNovember3rd
#BLUE WAVE","other"
"mcmweb56","Chicago Blackhawks fan and border collie lover.","other"
"mselainous","Empathy saves!","other"
"MisticMoonDance","Human rights, politics, planet, eco-spirituality, animals, art, beauty and humor. Uni faculty, massage therapist, nurse asst, shaman.","acad"
"MorSeaS","I meet great people everyday; white, black, blue. I meet scumbags everyday from all races as well. People are not their color 🤔","other"
"StephanieBumpus","#AltFam 
Democracy is not a spectator sport","other"
"Gospel1957","Prayer Warrior, My Praise is my Weapon. Glory to the Lamb 🙏😇🙏","other"
"GRMurph13","Father, husband, dog lover and medical solutions consultant.","other"
"lynn_holly","58y/o retired RN &  preschool teacher think that poverty healthcare homelessness are moral issues to care for each other/planet and self knowledge is our job","other"
"ctrandolph","love is love! #BLM! #goodtrouble.","other"
"IamGoalsetting","a keen spirit|👓 📚|","other"
"FloridaVoterNPA","Woke liberal. MAGA Repubs are the biggest snowflakes around! Wah we need a safe space. Wah.","other"
"a2__1t","Maths is fun.","other"
"Perry5510","Just watching. 😎","other"
"funkykarma","bright is my favorite color
I frequently hate everything like it's my job.
..Florida native..","other"
"Ocenasek_Images","Business consulting that will help people of the future- we provide a professional consulting service for the people driven careers of today in technology.","other"
"kissedbythesun","Can't tweet fewer than 290 characters. Founder & CEO of kissedbytheStudio a Social Media Marketing & Design hive which develops, manages smart social media.","other"
"emily_baker","She/her/hers. Born in Asheville, grew up in Augusta, 25 years in San Diego, now in Birmingham. 10 year breast cancer survivor.","other"
"BurlingameTerry","SPANISH teacher K-8","other"
"AuthorMichael57","Official Account of Michael C Schmidt aka A. Raymond, Author Wife is @MaryLSchmidt #SCBWI #memoir #childrensbooks @NewAppleAwards #ReadersFavorite","other"
"SuzeSoFlo","Protect: the environment, freedom of speech. Fascism is alive & thriving in FL. old enough to remember when FL was Blue and better. GOP is killing FL!","other"
"SanMan_ish","In Lak'ech Ala K'in - I am you you are me","other"
"RWWhit","Long term Philadelphia sports fan, with the medications to prove it.","other"
"Angellaborceee","🇵🇭🇲🇭","other"
"BeachsideLA","Climate Change Voter","other"
"tulachard","🍃🌺 🍃🦞Peace, love and lobsters.","other"
"TeriinNc","""""Make the lie big, make it simple, keep saying it, and eventually they will believe you.""""        Adolf Hitler  #Resist #BidenHarris","other"
"Miss_Jera35","Likes: NOLA, Perdido Key, animals, Bama football and ALL the wine. Dislikes: Trump. Also, avocados and """"craft"""" anything. (Is """"sorry, not sorry"""" still a thing?)","other"
"KathyGarcia56","Retired Executive Asst. City of Sarasota","other"
"BostonBubbalooo","#BlueVoices Big dog in a small apt helping my disabled mom Love all #BostonSports #LGBTQ+ #VoteBlue  She/Her Ehlers Danlos ♿️ People Matter #FBR #VetsMatter","other"
"notthatcute","#survivedTFG #justgetvaccinated","other"
"Mygroal","U.S. Navy veteran that cares for humanity and loves America but is sickened with our direction","other"
"mgtmeehan_","Retired teacher, wife, mother, grandmother.","other"
"BenDenee","Nineth Twelth Florida 🙄 🐳@MizChriz","other"
"philippos42","Redhead. I like hornets. Yes, I know the accent is in the wrong place.","other"
"CliftKenneth","I’m never leaving CA. If the music is loud, you’re old. The beach is my happy place.","other"
"sondkr","Antique Toy Dealer. Beliefs: guns have no place in society #resist people matter #Norwich","other"
"HughVonNied","Artist, Theoretical Physicist, Geologist, Engineer, Paleontologist, Biologist, Auto Mechanic, Mud Logger, Archeologist, Poet, Composer, Carpenter, Teacher, etc.","acad"
"OccupySarasota","We are here in support of the revolution begun by Occupy Wall Street and in solidarity with the 99%.","other"
"CaptainMorphine","Nice try stinky","other"
"Ralphandalice","Mother, Grandmother, Great grandmother, old hippy chick, liberal, feminist 🇺🇸 proud resister.","other"
"InvisiblInvalid","School of Hard Knocks, Work Hard - Play Hard
#DTA","other"
"kvnpkrwrd","Permaculture is one diverse answer to mitigate climate change. Try it...even sprouts in a jar. Regenerate! Plant something today. Eat it tomorrow.","other"
"ManBradley006","A fair minded, opinionated Libra⚖
Tryn hard to stay balanced, but assholes wnt let me, 🖕🏾em🤨
I will give the shirt off myback, just don't demand I do😅🤣😂","other"
"gratefulAC19","🇺🇸🇺🇸Freedom is never free. Anti-mandate*Anti-gender ideology*Anti-feducation #NoAmnestyForCovidTyranny #NotRadioActive","other"
"takhar_","Canadian, Husband, Father,IBEW-230 Member,Humorist,Seasonal Sportsman,Political Junkie,Sci-Fi fan,Love 2 cook,Always hopeful of Fairness & Justice for all.","other"
"MaxFlugrath","Fmr: Senior Communications Advisor, @GeorgiaDemocrat. Helped elect @NikkiFried, the only Democrat to win Florida since Barack Obama. Dog dad. Tweets mine.","other"
"prateek03387700","Nothing yet,still looking for it","other"
"StefanieThayerN","nana mom semi-retired clinical social worker nonprofit founder proud lifelong Democrat","other"
