"username","hand.label_simplified","description","max.class","single.label"
"LesiaWilliams19","other","Former DOD Accountant, Music Lover, Prolific Reader (Politically Informed) Progressive, Jazz Vocalist, Animal Lover","other","other"
"Runatic1","other","Don’t be as Ass wear a mask","other","other"
"donwilk03729277","other","Insulin diabetic  and know about a lot of things about homes from the ground up","other","other"
"JeanneRae49","other","Constitutional Conservative, Christian saved by grace, I ❤️ Tampa Bay Bucs. 1A - All speech is free speech! #AmericaFirst #FreeStateOfFlorida","other","other"
"EdJoyce","other","Oceans, mountains, islands, lakes, rivers, trees and streams. Mní Wičóni💧 
@UW alum and member @WGAWest✍️","other","other"
"bob_edgemon","other","I am a 74 year old Vietnam War Veteran. “Big Red One” 1at Infantry Division. 1967-68. I spent my high school vacation in the boonies of ‘Nam! I am a Liberal!!!","other","other"
"truebluefive","other","22 year old Texan and Pizza enthusiast. Plays too many video games. Die hard Cowboys fan.","other","other"
"ShanetheSomm","other","Too weird to live, too rare to die. CS in KC. WSET Level 3. WSET Diploma student","other","other"
"LeeGoreGrowl","other","Fight for the Born: Children in schools taking active shooter drills. Impoverished communities. Women and their bodily autonomy.","other","other"
"MouadTanger3","other",".","other","other"
"TokeSignals","other","#Legalize #PlantBased #Vegetarian #BLM #FBR #Autistic #FuckTrump #AnimalWelfare #Cats #music #AdoptedArky •Little Black Book of Marijuana• banned@20K @alapoet","other","other"
"Greenesteye","other","fighting 4 equality 4 all sentient beings, safe & healthy environment, great education, job, & wage 4 all, fewer people w/guns, love over hate& diplomacy b4 war","other","other"
"stretch4444","other","Captain Juggles the Clown in the greater Orlando area. USCG Auxiliary North Brevard, Elks and Eagles, TGO Church","other","other"
"fjm1947","other","Christian Veteran Vietnam USAF 509th Bomb Wing, SAC, 1966/1970, NRA Certified Instructor, Competitive Shooter #NRA I BLOCK BRAINDEAD LIBERALS, NO DM'S","other","other"
"bekindhavehope","other","Thank you, Joe @POTUS ❤️ | https://t.co/GSSYcnQ6Sg | #AmericanJobsPlan | #BLM | #BetterWithBiden | #BetterTogether |  I try to be kind & sometimes fail ☮️","other","other"
"TheFritoGuyIL","other","Democrat. Father of 3. Married for 9 years. Disabled from being t-boned by a cop at 83mph.","other","other"
"beezer16","other","I went to sea in a sieve.","other","other"
"apriltea10","other","(She/Her)","other","other"
"ruthlistbroward","other","Ruth's List Broward's goal is to build a progressive Florida by recruiting, supporting, and assisting progressive, pro-choice, women leaders.","other","other"
"GatorDex","other","The official Twitter account for Dexter Doodle. Born June 13, 2010. Blond. Approx. 50 lbs.","other","other"
"NCfarmer321","other","Small local farmer and security instructor - average middle-class American.  Tired of the wealthy criminals and fascism intermingling in our Constitution.","other","other"
"Seeinit","other","Just love yourself, one another and your planet and see what happens for God’s sake. Enough with the BS. Time to elevate. #LookUp #OneLove","other","other"
"maggie_reader","other","Politics, books, music, sports, art, feminism, healthcare, CLE, snark. In no particular order.","other","other"
"pharmchick","other","Screw the patriarchy","other","other"
"wellthom","other","Former CEO of a National Healthcare Recruitment Firm. Prior experience working within clinical based programs with medical device/hospitals. Retired 2018","other","other"
"RnBChrisTian","other","R&b/Soul/EDM Artist & 5X (time) Grammy Contender heard globally!","other","other"
"DamnJaded","other","Liberal 💙Vote💙
Injustice/Racism/Corruption❌
#VoteBlue2020
🚫maga

Busy time of yr Raise houseplants to sell May be scarce at times
💘 🎶/🌿/📚/🐕/🐱","other","other"
"CarrollynAragon","other","IStandWithBiden    ThankYouPresidentBiden   Resist  ArrestTrumpNow        (NO DMs)","other","other"
"Laralonglegs122","other","moved to a blue state!! rah rah rah  #BLM #resist #LGBTQally","other","other"
"_JESSrelax","other","Without vision, the people perish | ODU alumna","other","other"
"MearaLyons","other","Comms, marketing pro. Love words. Kindness first. Dig traveling, creativity, delicious food, and great company. Proud UCF Knight.","other","other"
"SiJTurner","other","Sun, sea and Super Bock. EFC. Viva L’ete!","other","other"
"SunflowerAction","other","Committed to environmental justice & the health and safety of SF Bay communities threatened by climate disruption and toxic pollution.","other","other"
"Elepitts1997","other","🌹ExGOP❄️@USC Alum✌🏽LoveIsLove🌈 #SaveACA FreePalestine☮️ JoeBama💙 #BlackLivesMatter Resist✊🏽 💚➕🌎Diversity🇺🇸Equality 👩🏻💕👦🏻","other","other"
"jojoblais86","other","Life Coach & beauty advisor; actor; history buff, mom to adorable Havanese puppy! Guys, I'm flattered but this is not a dating site so don't DM#resist #VoteBlue","other","other"
"Elks1987","other","Husband, Son, Brother, Triathlete","other","other"
"HectorinMiami","other","Advocacy, Real Estate & Public Relations. #TANSTAFL. My thoughts are mine alone. RT ≠ Endorsement. #FreeRoss","other","other"
"TampaBayEsports","other","We love Tampa & we love Esports ❤️ #TeamTampaBay 🌞🎮🖱️🌴","other","other"
"gabbyspas","other","NET Cancer fighter for life.","other","other"
"JohnRya95081680","other","PROUD Liberal ❄️ Save America from Twitler & Q-Nuts! 🌊 #BlueWave22 @BuildTheWave Bots Blocked & Morons Muted Twitler must be Jailed for Crimes against Humanity","other","other"
"kimpita","other","Love Your Mental Health Art & Wellness Studio and Kelly’s Wings Gift Shop in Chester, author Split Endz: Tale of 2 Crazy Sisters, marketing strategist & speaker","other","other"
"loofishy","other","they/she . pwitter ‘25 . 绿茶婊 . enjoyer of backrooms music","other","other"
"PeterToupin","other","Old libtard proud Canadian.Go Oilers.","other","other"
"Sam_RamirezQ","other","Latina | Floridian | Comms for @RepMaxwellFrost | Previously @CharlieCrist | 🇻🇪","other","other"
"msvictoria53","other","Not a dating site-unless you’re on Wealthymen. com keep moving! Single, happy and old! Yankees,Colts, Celtics,Bruins!favorite saying WTF #resist #BLM. 🌊","other","other"
"mwolfers","other","I reserve the right not to reply to the grammar/spelling-challenged. #BillsMafia #BuffaloSabres #StillWithHer #BLM #VoteLikeBlackWomen #KHive #NYTough","other","other"
"lindafmanuel","other","63 year old grandmother of 6. Liberal Democrat. Time to fight is now!","other","other"
"Horus37053955","other","Shaman Rising","other","other"
"rcmvalter","other","Consider myself a late bloomer activist for all people being treated equally and right.","other","other"
"justryingtolea1","other","I don’t know what the big deal is. Just put some Brawndo on it","other","other"
"Diann5807","other","Proud Texas Dem Astros & Texans fan LOVE our military Equal rights LGBT pro immigration anti-trump anti-GOP anti-haters NEVER my president NALC Br 283 🌊🌊 FBR!","other","other"
"Wenican","other","Four chickens & a grandson most weekends. The urban farm is humming along.

I love Oxford commas. No DMs.","other","other"
"sailindude","other","🍺 is good","other","other"
"Jmdmd1Maurice","other","Bsc Biology / Physician","other","other"
"shelton21660","other","LOVE animals & animal rescue; Health Coach; t1 diabetic for over 50 years","other","other"
"waterlilly1997","other","Retired R.N., Atheist, Proud Liberal, Socialist, Progressive, Dog Lover, Mom and Grandma. I love my America.","other","other"
"BaronianConsult","other","Interested in Aerospace, Aviation,  Advanced Technologies, HealthCare Technologies, Competitive Intelligence, Human Capital Solutions","other","other"
"LarryDeLuca","other","#DForDemocracy #VoteBlueNoMatterWho #ReformTheFilibuster #ExpandSCOTUS #ExpandTheCourt #BlackLivesMatter #LGBT Suddenly supporting #CivilRights is radical.","other","other"
"rtfos09","other","🌊 Former teacher, dog lover, political activist, and proud mama, passionate about Women’s Rights, Vote Blue to Save Democracy","other","other"
"GeoffdeGuere","other","Armchair Prophet of Doom. I use this space to vent about anything and everything I feel the need to vent about. Occasional food porn.","other","other"
"penndragonArt","other","#Art is My Life-My Life is Art I'm visual #artist #inVegas #LasVegas #theResistance #weMatter #supportTheArts (personal account) Viewpoints=My Own, RT=Support","other","other"
"intercessor714","other","Intercessor according to II Chronicles 7:14, Retired military (USMC and US Army, 0311 / 11B), Combat Veteran, Educator, Philanthropist, Impossibility Thinker","other","other"
"WSSMomma","other","Transparency and Truth should be common ground for both parties.... Political junkie","other","other"
"Bryn32050638","other","just me I walk the Middle Path. 
My people have been upon this land forever!!!
 Generations and generations forever.

NO LISTS Please. 
NO DM's. 
I AM .","other","other"
"smehro","other","Author; entrepreneur; CEO; 
https://t.co/duHHL5AaD2
https://t.co/n3yeHMrbbT","other","other"
"spturgon","other","AV's fave (& only) Tia 😉 Humor helps everything. 

Ghostwriter Global writes better books for a better world. 
Get that book out of your head & onto paper!","other","other"
"wcli1108","other","I, Robot!  #Forwardist
#Tesla, #Bitcoin, #Ethereum (#shibainu seems more useful than #Doge-10/04/2021) HODLER!
Just another """"Muskrat""""","other","other"
"The_Jo_Knows","other","#DigitalMarketing Connoisseur, 🐶 fanatic, and 🔥 artist. 6 yrs EXP All tweets = my own. RTs =/= endorsement. #marketing #branding #contentmarketing","other","other"
"diannemando","other","Pro-human rights. Curious. Greed is the worst. NO LISTS, NO DMs.","other","other"
"Hope__Morgan","other","South Florida Native (3rd Generation)
🌳Growing food among native plants 
💧 Clean Water & Air/EVs/Clean Energy ☀️","other","other"
"BenVorwerckCVG","other","Born in Dayton, OH. Family in the US Military. Grew up in Atlanta, GA. Now live in Cincinnati, OH. RTs aren't endorsements.","other","other"
"Arthur59611540","other","Consulting (environment, entomology) B.S. Biology M.S. Aquatic biology - Ret. Ohio EPA, Jazz, comedy, no businesses, No Repug. Must show bio!","other","other"
"j3zcm0","other","#Resistance   vote blue in 22
get vacinated. fuck trump. fuck scotus, women's right to choose","other","other"
"kpjpsp","other","🇺🇦🌻I’m fighting for democracy -exposing corruption & lies -appreciate all cultures & religions & believe education, human rights & travel improve the world🌊","other","other"
"mihaelajipa6","other","what's fashionable right now? 
Join The Cause SAVE TERRA! 🌱🌎 
CLIMATE CHANGE URGENT!! 🔄♻️","other","other"
"Toast2Karin","other","Purveyor of shenanigans, foodie, liberal, and all things Iowa Hawkeyes.  On Post, same as above.","other","other"
"cyurek","other","Virginia Voter, Gymnastics Coach, and Geography Buff. Politics is a bad habit.
#EndGerrymandering","other","other"
"Cheryl_Kneisley","other","Underwater Images by Cheryl and Doug Kneisley  Fine Art Prints and Gifts of our photographs taken while scuba diving.","other","other"
"debbieACSW","other","Mental Health Prof.💙💙💙 Share truth and Kindness 🌊 🇺🇸🇺🇦 Keep up the fight! LC2020  @debbieacsw on other sites","acad","acad"
"branders44061","other","Charlotte NC area resident - retired. Liberal Christian, advocate for social justice who values worth of all. No DM's #IStandWithUkraine 🇺🇸 🌊","other","other"
"HazardMaterials","other","Nah","other","other"
"Tamera_Tams","other","♡LIFE is too short, so KISS slowly, LAUGH insanely, LOVE truly, and FORGIVE quickly♡ ~Artist~My Words are copyrighted ~ Pleeaase NO DM's 🌸🌿 Country Over Party","other","other"
"KayOrnella1","other","💙💙🇺🇲 🇺🇦 🌻💙💙","other","other"
"AntiBSAdvocate","other","Second gen. U.S. citizen, mostly blue, taxpayer. Love my country! Stand w/ the Capitol Police re: #January6th!  My opinions are my own, just sayin'!","other","other"
"Count_of_Zed","other","I Love God, my wife, lOvly daughter| Reformed Baptist | Calvinist & Not New Calvinist #TULIP #5SOLA's #1689BCF | Secret Blogger | 🇿🇲","other","other"
"rescuebasset","other","retired nurse, animal lover with basset hound rescue, baby boomer activist, Blue 🌊 Wave Supporter, member of Move-On etc., proud Democrat from S. C.","other","other"
"DLOWIWX","media","#nerds #weather #nature #stormspotting #wiwx also sometimes #memes","other","other"
"cspanSnark","other","""""Your the reason this country is going to a Socialistic nation""""—Some dumb right-winger","other","other"
"GregLitzo","other","Retired law enforcement","other","other"
"Camelotchild1","other","Channeling my inner Towanda. Lover of wide open spaces & quiet places. Animal rescue at Mountain Tails. My dogs & I sleeping better with the Fat Cheeto gone!","other","other"
"dragontailscomp","other","Ok if you don't follow me. Pls help Vets, Animals, Homeless & Migrants.  99% of what I retweet is w/o comment to remind me of what is going on.  Be kind.","other","other"
"debbierjoyce","other","I love reading,gardening,and arts and crafts. Hot tea and coffee are a must.After trump et al,I want a better America. No DM’s please. No lists please=quality.","other","other"
"ThiefNtheKnight","other","...Free is the mind of one who finds God working inside Paul (Daniel) Zink","other","other"
"TheKoolcat01","other","New season, new opportunities to finally do the right thing in this country. Your vote truly does count.  Hold each of those TRAITORS ACCOUNTABLE!","other","other"
"HopesWayPtbo","other","“Whoso stoppeth his ears at the cry of the poor, he also shall cry himself, but shall not be heard.” Proverbs 21:13 KJV","other","other"
"andreacotes1","other","Biologist 💚 Parasitologist 🦟 PhD Student Ticks and tick-borne pathogens ecology","other","other"
"QueenbeeAxs","other","liberal, 🆘, feminist, Democrat, Mom to 3 plus 2 dogs, Ravens and Oriole's fan, US Soccer fan. bluewave","other","other"
"DawgoMIsouth","other","A former Southern alloy short haul / steel warehouseman + petroleum mechanic for Southeast Oil. A former #BAYSO goalie to #McPeak Bombers.⚽.","other","other"
"Bish_Resists","other","Snarky, opinionated, meme aficionado. LAUGH. We all need to! 🚫Lists 🚫DMs","other","other"
"RosaMPalomino","other","Former Candidate @RunRosy |
Personal & Unfiltered Account | Survivor | Entrepreneur | Educator | #USMCFamily | @DouglasParkMIA Pres. #MakeFloridaGreatAgain","other","other"
"LeeGo76","other","Rabid NY Rangers/Yankees/Jets/Boston Celtics fanatic. Displaced New Yorker. Iced Coffee enthusiast!! Science over All Religion.","other","other"
"oneeightismynam","other","Support:  https://t.co/GtVYEBP7dw","other","other"
"USofA_Strong","other","The illusions of a shining city on a hill and a thousand points of life are gone - all that's left are seeds of hope & hate; which shall we nourish and harvest?","other","other"
"Linusfan13","other","Wife/mom. I❤The Peanuts Gang, SPN/TFW2.0, Doctor Who, Captain America, Red Sox, Bolts 🏒, Colts 🏈, Bama 🏈. Documentary, trivia, & true crime junkie.","other","other"
"gary_gymiebaby","other","vaper, liberal, democrat, US Navy Vietnam era veteran, sports fan, Michigan State guy. Consumer of edibles. 🇺🇸 amorem non bellum unless I know you don’t DM me","other","other"
"flcalique","other","Advocate & Activist #Resistance #FBR
**************Z&H*****************","other","other"
"angieLovesUSA","other","Christian Conservative. Pro-Life. Happily Married - NO DATING- No PM/DM. MAGA- Adults Debate- Children Meltdown- I Instablock TDS. Eat more meat, Stay Healthy.","other","other"
"FloridaSeaGrant","acad","A university-based program that uses #science to help #conserve #coastal resources and enhance economic opportunities for the people of #Florida.","other","other"
"RobinLuvsDisney","other","Skills: I can recite verbatim all words of JFKs Inaugural, Hamilton, & Pixar films...so I have that going 4me, which is nice. Diehard Skins fan, so a masochist","other","other"
"PersiaAriana","other","Don’t come for me unless I call for you👊","other","other"
"CumbieJulie","other","💙💙Democracy Lover💙💙 Mother, Former educator, 💉Fully VACCINATED🥳, Xennial, Interconnected🌎, Love, kindness, empathy, compassion will WIN!","other","other"
"Druschmarilia","other","mother of 3 grandmother of 10","other","other"
"amp_your_cause","other","Purveyor of truth, antithesis of the misinformation zeitgeist of our time. #Jan6Insurrection #LockTrumpUp","other","other"
"sheila_freda","other","For God so loved the world that He gave His only begotten Son that whosoever believes in Him should not perish but have everlasting life","other","other"
"jermz05","other","Korean American. Gen X. Financial Advisor. Tweets (and RTs) are not recommendations.","other","other"
"AUkeibro","other","AU-War Eagle, U of K, Democrat, lover of nature and life. We have a responsibility to leave the world a bit of a better place than we found it. #TheResistance","other","other"
"elpel67","other","Abstract Artist/Photographer. I’m the GREATEST FRIEND you’ll ever have/know. @amyklobuchar #PlantATree #HB8585 #Parkinsons","other","other"
"mactavish","other","Scientific/natural pantheist. Homeschooler. Patriot. Nerd. Rheumatoidy. She/her or they/them. Not one bit pro-fa.","other","other"
"Natezilla73","other","Retired Bassist turned local Dj, I'm a C10 owner/enthusiast, Dolphins fan, tattoo collector, future Floridian and I like pie !!!","other","other"
"Auriandra","other","“International expert in semantic interoperability” UChicago/MayoClinic. Pro-Democracy Dem. Policy wonk. Link: ⬇️ Trump/Ukraine/Russia Chronicle #NAFO #NewDem","other","other"
"HernandoCam","other","https://t.co/qxXaJaAM7D⚓️ https://t.co/eKb7aU9DvR
https://t.co/G3Hl7K3kbC
https://t.co/b5HzP1CbxH","other","other"
"ReneLouieRa","other","2021 FINALLY !!!!! ☮️ Biden & Harris all the way. RESIST !!!!🌊🌊🌊🌊🌊🌊💙💙💙💙💙💙💙💙💙💙💙💙. Remember… read the small print. #BLUE CREW.  No DM’S","other","other"
"dwachfwb","other","Father, Author, Professional Grim Reaper, I worked with the dead and write about it.#Resist#BLM $dwachfwb 🇺🇲🇦🇷","other","other"
"BearcatVol","other","Tennessee Vols & SEC Football since 1991. Post on Tony BASILIO’s 5th Quarter. Contributor for Bearcat Journal ‘cause I love Cincy too. & now the TB Buccaneers!","other","other"
"jchrisb123","other","I use Flickr & Twitter to share my photography & life experience. You might also consider me to be a world traveler, snow skier, scuba diver, & a photographer.","other","other"
"BlueMonkeh","other","""""Old age and treachery will always beat youth and exuberance.""""","other","other"
"Joecruzsb","other","terrible at #ApexLegends, solo #Destiny2 player, Go Bulls #USF, might be a cpa.","other","other"
"eileenvan55","other","Liberal AF 🚫Citizens United, I’m Antifa Pro-choice #JusticeMatters Fighting disinformation, #RadicalRacistReich women’s liberties should not be in courts 🚫DMs","other","other"
"ParisimaTaeb","other","Running for FL House District 78 (Lee County area): Mother, Physician, Small business owner, Marjory Stoneman Douglas Alumna: https://t.co/yEZ4ru1pP2","other","other"
"ZanaGee01","other","I am Zana Gavin| Born in 850| 941 raised me| Business Woman| FAMU Alumna| Lady of TorQue ☠️🎀 #FAMU18 #DHATTWAY","other","other"
"FLsteveL","other","Troll killer","other","other"
"grahzee","other","6.2 tall, 200lbs,
I don't take socials too seriously....","other","other"
"javmaher9","other","#Election2024. Education & healthcare for all. #ClimateEmergency. Sustainability, Equality and Animal Welfare. #FBR No DMs","other","other"
"grammyjenn6","other","I maybe broken but I still have strength & beauty","other","other"
"justinsaarinen","other","striving for steady state through location intelligence. Father of 2 fourth generation Floridians, ocean minded and progressive. check out a Burchfield painting","other","other"
"SolomonMaal","other","RIP Buddy Ro & Calvin —— Gators 🐊","other","other"
"Mrsbtgabs","other","Wife, Mother, and Avid Non Baker ✊🏾✊🏾 Sayin it loud","other","other"
"PatriciaJowers3","other","Progressive","other","other"
"riderintherain","other","Liberal because being left is the right thing to do. Democrat Lifelong resident of Hampton Roads. Retired and lovin’ it!","other","other"
"trinityfhoney","other","I love 💕 my 3 grand babies","other","other"
"SuzanneinLGB","other","All life is art. I love big dogs. Unite Blue#Rt's are not endorsements#TheResistance#TeamPelosi#ProChoice #NoDm's#IBlockMagnates#BLM#IReadBannedBooks","other","other"
"ZawishUponAStar","other","If You're Going To Be A Mess, Be A Hot One. NJ ✈️ PHX","other","other"
"JustMeZZZ_","other","If I were to see further than anyone else its because I stand on the shoulders of giants.","other","other"
"Colchester1891","other","Quality control.","other","other"
"RobertSteegLife","other","Basically Fozzie Bear | Contributor for @StampedeSBN | USF Twitter Herd | #SteegForSurvivor","other","other"
"AKippieloo","other","Have the courage of your convictions. Character=the way you behave when no one is looking.  BLM, Dem. NO DMs.","other","other"
"AmYankees","other","Don’t blame me I voted for Trump.","other","other"
"DeWolfe58","other","Reforming Libertarian","other","other"
"rightgeorge99","other","Philosophy starts with Pitchers and Catchers, springs, hopes, eternity, etc. Spinoza said that. I’ll be in your dream if you’ll be in my dream, i said that.","other","other"
"annakco","other","Beach, Swim, Resort and Vacation Fashion Boutique🌴Blog on Travel, Fashion, Positive Living. Highly involved in pet rescue and No Kill Shelters. ❤️🐶","other","other"
"TrishkaPauru","other","Musician:1/2 of the band TishiPop,Wise Cracker,All around #NastyWoman","other","other"
"QualityNinja","other","Vermonter talking software, business , bikes and tactics","other","other"
"jjoemommaojojo","other","what ☂️ever","other","other"
"LawPetersen","other","Counselor and advocate for community association clients","other","other"
"LarryToweTV","media","Special Projects Photographer for WTVT FOX13, tinkerer, gardener, maker of wooden things. WHSV, WVPT, MCT, WHTM. Opinions my own.","other","other"
"agilexing30","other","At 73 my expression in social media is of moot value. But clearly, resistance to the Trump presidency is a moral imperative. Tally-Ho CheetoHead! #Twistance","other","other"
"jcwill56","other","Musician| Executive Coach| Vocalist| Psychotherapist| Co-founder of Therapy Center Stage| https://t.co/sXpVUvsXku","other","other"
"MatthewLRose","other-int","Fīat jūstitia ruat cælum","other","other"
"CalicoJake1","other","I specialize in bird law and I am pirate born two hundred years too late. #BlackLivesMatter","other","other"
"onahunttoday1","other","adventurist","other","other"
"Fuglevandhalen","other","rodbuster, Local 86; dad band: @slow__elk 

drawings and paints; 
buy my prints👇","other","other"
"NieuwkerkDana","acad","Microbiology, water quality, marine science, toxin-producing algae, #scicomm .                                           she/her","other","other"
"StantonWidow151","other","Mastedon @JStanton@awscommunity.social , what U see is what U get. I want to Spread Humanity. Forever a Warren Democrat She/Her","other","other"
"CoastieKate1","other","U. S. Coast Guard Veteran... My Oath has NO expiration date...DAV #VetsResistSquadron #VetsResistSupportSquadron #TheResistance #PRU #CountryOverParty","other","other"
"WolfeReports","other","JAX. CAE. BHM. Newswriter. @UofSC alum. @UofAlabama football obsessive. Disheveled and concerned. Est. 1982.","other","other"
"redshoe9","other","🛼Gen X roller skating 🎮","other","other"
"pelfjp","other","retired. backyard birder #voteblue. part time detectorist. love fishing Lake Erie. married 46 years. no DM’s please. no chat. No Dm’s","other","other"
"makaveligangsta","other","Miami Dolphins","other","other"
"Dmay713","other","It's not how you start, it's how you finish! I love the life I live, my laughter and my tears I don't know where it's goin' but I like it like it is! PSU '16","other","other"
"jordan_arick","other","...Somehow we weathered and witnessed A nation that isn't broken but simply unfinished, There is always light....-Amanda Gorman | He/Him","other","other"
"Priceeqn","other","Data mining algorithm developer. Mathematical modeler. #useR #biology #maths #evolution #actuallivingscientist","other","other"
"Clyde2241","other","Retired RPh and former 60's protester. #Resist
#StandWithBelarus #LGBTQ #Dems4USA
#DemVoice1 #OneV1 Z22 #FreshResists
""""For the times they are a-changin'""""","other","other"
"senatorshlikas","gov","It’s time for some new blood & new faces in the U.S. Senate, someone who represents all Americans’ interests. Shlikas will represent YOU. Write-In for Shlikas.","other","other"
"TinyTOEPress","other","🌴 Eco-friendly #Notebooks/#Journals 🌴 #Handmade [no staples] in the USA 🇺🇸✊🏽","other","other"
"BaffaVbaffa","other","Just someone wanting a livable planet & justice for all. End corporate personhood #28thAmendment #ClimateAction #ForThePeopleAct #MedicareForAll #SicEm","other","other"
"AlisonFred1959","other","Mom, grandma, love to cook, knit and crochet.","other","other"
"GenWashington64","other","mom, wife, activist, LCSW, psychotherapist, Democrat, photographer, vegan, #deadhead DemCast Captain, OneV1, wtpBlue #StandWithUkraine LGBTQ+ ally","other","other"
"srqjoi","other","NO DMs. 💙🌊🌴🐚🐈‍⬛🐈‍⬛🐕🐕","other","other"
"JohnSloanSmith","other","Back home again in Indiana enjoying time with my family","other","other"
"nuttinbuttgrilz","other","One Alpha-Aries just N love with ALL women--the salvation of the world...specially when ya'll BANGIN!!!","other","other"
"AmySeeksTruth","other","#TeamDemocracy #BLM #StopAAPIhate #NeverAgain✡️ amyseekstruth@mastodon.sdf.org/ and on Post","other","other"
"BishopScienceFL","acad","Also home to the Planetarium and Parker Manatee Rehabilitation Habitat. From the prehistoric to the present, there's something for everyone! Come find your WOW!","other","other"
"NeoDmn","other","crєator of original, multi-genre 🎶. i bєliєvє in thє ultimatє єquality of all sєntiєnt bєings.🖕 dєcєpticons #blacklivesmatter $MOBILE","other","other"
"Silvercitysrq","other","Thoughtful souvenirs -- luxury, high-end purchases! At Silver City Sarasota, we’ll cater to your every need.","other","other"
"bsds75","other","When will we all get along? Will it ever be? It's not in the future I see.","other","other"
"HealthyGulf","other","Uniting and empowering people for a Healthy Gulf of Mexico","other","other"
"Kamala4Ohio","other","Democratic Constituent from Ohio working to one day elect Vice President Kamala Harris President! #ElectBlackWomen #Kamala4Oh #Harris202X","other","other"
"seterapia","other","Giovanni Benavides #LMHC. CUNY Brooklyn College alumni, the poor man’s Harvard. No one appreciates free advice.","other","other"
"IeatMangos","other","- I steal a candy bar and go to jail. China destroys the world with COVID and nothing happens to em?
- Women, stop it with the butt implants. They look terrible","other","other"
"jacmeister","other","Up for Tech and Lifelong Gooner","other","other"
"StevesGulf","other","Husband 88 ☼ Father 98 ☼ #Realtor 00 ☼ FSU20 Bio Honors Parent 16 ☼ GW22 Grad School Parent 20 ☼ #GulfHarbors #Florida Resident & Waterfront Specialist 2000 ☼","tourbiz","tourbiz"
"ChaosMaster42","other","Spriter, web comic maker, gamer, and all around artist.","other","other"
"howland_janecb","other","“Audacity of Hope” Always. Persist. Care. Vote. 🌊🌝Urban Jungle","other","other"
"JJFan18","other","#AlwaysWithHer, #LGM, Resist, Persist, Enlist, Insist, #BLM #NewYorkTough, Cowboys fan,","other","other"
"gotmtv","other","Organization dedicated to increasing voter turnout for Mid Term elections. Re-tweets are not necessarily the opinions of our organization","other","other"
"valorigeorge","other","The rich always practice class solidarity - we should do the same.
#BLM #BDS #M4A #AbolishICE #IWW

Justice is what love looks like in public. - Cornel West","other","other"
"PragueloverR","other","Genealogy / Paleontolgy 
Fuck tRUMP.
LMU Railsplitter '74 
Retired USNPS (CUGA/INDE) & USPS (Plymouth Meeting, PA)
#Resistance. I stand with 🇺🇦.","other","other"
"aquaculturehub","other","educate - learn - share - engage","other","other"
"floridakeysdems","other","Monroe County Democrats - Florida🌊🌊🌊","other","other"
"CherryJubilie05","other","Fed up with watching my country being sold to the highest bidder. #Resist #NeverTrump","other","other"
"meripierre","other-int","Retraité. Bénévole. Lecture. Foot. Hockey. Resto. Une bonne discussion devant une bonne bière.","other","other"
"DruCrawley","other","#buildings:  #performance, #netzeroenergy, #simulation, #decarbonization, #climatechange, #data, PhD, father of #EnergyPlus, Bentley Systems, views own","other","other"
"TrueBluPatriot","other","DemocratsSaveAmerica!
Pro Ukraine Pro Choice NO BERNERS!
Garland critics & magats BLOCKED!!
🚫 DMs‼️
I FOLLOW BACK TRUE RESISTORS!!
INVENIAM VIAM AUT FACIAM!!!","other","other"
"M_PG20","other","Liberty over security, Principle over party, Truth over personality..","other","other"
"janicecoutre","other","I love flowers, music, Tampa Bay Rays⚾ Buccaneers🏈 NASA 🚀","other","other"
"RRRiling","other","Sh✨t show in the WH finally forced me to learn how to use my TW acct   #FBR","other","other"
"shellshocked103","other","Proud grandmother, newly awakened to the fragility of our democracy, proud to resist the destruction of our values. Picky about who I follow and who follows me.","other","other"
"jaffesj","other","senior with children of four different generations, wives of three","other","other"
"540856","other","Not left or right. Independent. It's not who you are underneath, it's what you do that defines you.","other","other"
"RaiseTheBones","other","Artist, and liberal AF","other","other"
"pattysmithsfl","other","#StillWithHer 🇺🇸 waving Dem
Early American Historian @StanleyCPanther @LindsayBHockey & @JessBlaylock fan @FlaPanthers @Marlins @MiamiDolphins & @Minions fan!","other","other"
"SophieZnS","other","Love nature and my friends. Democracy lives, but we can't let our guard down. Support 🇺🇦 You can also find me SophieZnS mstd social and SophieZnS Posted Note","other","other"
"JoeRuiz1968","other","Uber driver laided off after 6yrs
school bus driver 14yrs
Fantasy football President Allmadden 32yrs
poker, suportinig daughter with disabilty.","other","other"
"lizster22","other","🇺🇸 Black, Japanese TB🐐 4-yr AF Vet, 🌊,🌻🇺🇦","other","other"
"michega","other-int","ex Altavia,
citoyenne du monde,
passionnée de sciences, d'histoire et de voyages","other","other"
"bllyboy60","other","Recovering Republican, not sitting on the sidelines while Darwin Award Winners spout stupid. I spent my life in service of kids! Oh, and I drive Vets!","other","other"
"jonrob718","other","Survived 12 years of catholic hell Atheist -Healthcare is a Right - RESIST #theresistance Vaccinated 3xBoosted 
Putin is a War Criminal / The GOP are Hypocrites","other","other"
"MissyLoveDown","other","Studies Poli Sci Journalism @ USF 🐃
I WILL set CNN Str8 1 day!
Looking for 🔥 so please NO LIARS!","media","media"
"weievil","other","One of the last sane people left in #Florida #VoteBlue","other","other"
